编号,中文,英语,定义,注释
2.1.1,水,water,由氢和氧两种元素组成的化合物，化学式为 H2O。常温常压下为无色无味的透明液体。,注：一般以液、固和气三种聚集状态并存于自然界中，液态称水、固态称冰、气态称水汽。
2.1.2,水圈,hydrosphere,地球表层水体的总称。,
2.1.3,水体,water body,地球表层中各种形式的水的聚积体。,注：包括海洋、河流、湖泊、水库、冰川、沼泽、地下水等。
2.1.4,水文学,hydrology,研究地球陆地表面以上和以下水的赋存状态、循环过程和时空分布特征；水的生物、化学和物理特性；以及水与水环境的相互作用，包括水与生物的关系；以及为水旱灾害防治、水资源开发利用、水环境保护和生态系统维护与修复提供科学依据的学科。,注 1：联合国教科文组织（UNESCO）和世界气象组织（WMO）联合发布的《国际水文学术语 第 3版》（2012 年）中“水文学”术语的定义：研究地球陆地表面以上和以下水的赋存状态、循环过程和时空分布特征；水的生物、化学和物理特性；以及水与水环境的相互作用，包括水与生物的关系的学科。；注 2：全国科学技术名词审定委员会公布的《水利科技名词》（1997 年）中“水文学”术语的定义：研；；；究地球各种水体的发生、循环及分布，水体的生物、化学和物理性质，以及水体与其周围环境（包括生物；界）的相互作用的学科。；注 3：《中国大百科全书 大气科学 海洋科学 水文科学卷》（第 1 版 1987 年）中“水文学”术语的定义：研究地球上水的起源、存在、分布、循环、运动等变化规律以及运用这些规律为人类服务的科学。2.1.5；地表水 surface water；地面上流淌或蓄存的水分的总称。；注：如分别存在于河流、湖泊、水库、沼泽、冰川等水体中的水分。
2.1.6,地下水,groundwater,赋存在地表以下饱和带中的水。,注：一般指埋藏于地表以下饱和岩土孔隙、裂隙、溶隙及溶洞中的水。
2.1.7,土壤水,soil water,潜水面以上土壤中所含水分的总称。,注：包含存在于土壤孔隙中的水汽。
2.1.8,水汽,water vapor,呈气相状态的水分的总称。,注：一般指大气中呈气态的水分。
2.1.9,水文现象,hydrological phenomenon,水文循环过程中，水的运动变化和存在状态的表现形式。,注：其基本特征可归纳为：在过程中的环境性和人为性，在时程内的周期性和随机性，在地域上的相；似性和特殊性，在运动中的同在性和独立性。
2.1.10,水文要素,hydrological element,,注：包括水位、水深、流速、流量、降水量、蒸发量、含沙量、输沙量、冰凌、水质、水温等。
2.1.11,水文情势,hydrological regime,河流、湖泊、水库等水体水文要素随时间和空间的变化情况。,
2.1.11,水情,water regime,河流、湖泊、水库等水体水文要素随时间和空间的变化情况。,
2.1.12,水文效应,hydrological effect,地理环境变化引起的水体水文情势变化或响应。,注：地理环境变化可分为自然和人为变化。
2.1.13,河川径流,streamflow,泛指水道中流动的水流。,注：水道一般指是水可以流动的自然河槽或人工渠道。
2.1.14,洪水径流,flood flow,河流中河水水位等于或超过自然齐岸水位的水流。,
2.1.15,基流,base flow,因地下水的出流以及大型湖泊和沼泽的排水，而在河流中形成的持续不断的水流。,注：基流包括冰川、积雪等补给的水，但不包括降水形成的直接径流。
2.1.16,洪水,flood,河流、湖泊等在较短时间内出现的流量急骤增加、水位快速上升的水文现象。,
2.1.16.1,暴雨洪水,storm flood,由较大强度降雨形成的洪水。,
2.1.16.2,冰凌洪水,ice flood,由河道中冰凌融化或阻塞形成的洪水。,注：由于河道中大量冰凌阻塞形成的冰塞或冰坝拦蓄住上游来水，导致水位雍高；或是在冰塞溶解或；冰坝溃决时，河道槽蓄水量迅速下泄形成的流量陡增。
2.1.16.3,融雪洪水,snowmelt flood,流域内积雪（冰）融化形成的洪水。,
2.1.16.4,雨雪混合洪水,rain and snowmelt flood,流域内积雪（冰）融化期间伴随降雨形成的洪水。,
2.1.16.5,山洪,flash flood,山区溪流中发生的历时短、洪峰流量相对较大的洪水。,
2.1.16.6,溃坝洪水,dam-break flood,挡水物体突然溃决形成的洪水。,注：挡水物体可以是大坝、堤防等挡水建筑物，也可以是堰塞体、冰坝等自然形成的挡水体。
2.1.16.7,流域性洪水,watershed flood,洪水来源区覆盖流域的全部或大部，干支流洪水遭遇，形成中下游河段较大以上量级的洪水。,
2.1.16.8,区域性洪水,regional flood,洪水来源区覆盖流域的部分区域，形成部分干支流河段或支流较大以上量级的洪水。,
2.1.16.9,局部性洪水,local flood,局部地区发生较大以上量级的洪水。,
2.1.17,枯水,low-flow,河流、湖泊等在无雨或少雨时期出现的流量显著减少、水位明显降低的水文现象。,
2.1.18,水温,water temperature,水体中某一点或某一水域的温度。,
2.1.19,冰凌,ice,水在 0℃或低于 0℃时凝结成的固体为冰，流动的冰称为凌。,
2.1.20,空气湿度,air humidity,空气中的水汽含量。,
2.1.21,人类活动水文效应,hydrological effect of human activities,由水利工程、灌溉、开采地下水、水土保持、土地利用改变、城市化、排水等引起降水、 洪水、径流、地下水、沙量、水质等水文情势的变化。,
2.1.22,落差,fall,某一时刻，某个河段上下两端的水面高程差。,
2.1.23,弗鲁德数,Froude number,表示重力对流体流动影响的无量纲数，为流体平均速度除以河渠横断面水力平均深度和 重力加速度乘积的平方根。,
2.1.24,雷诺数,Reynold number,表征流体流动状态的无量纲数，为流体惯性力与粘性力的比值。,
2.1.25,韦伯数,Weber number,表征流体表面张力重要作用的无量纲数，为流体的惯性力与表面张力的比值。,
2.2.1,陆地水文学,continental hydrology,研究陆地上水的分布、运动、化学和物理性质以及水与环境的相互关系的学科。,注：水文学的一个主要分支。
2.2.1.1,地表水水文学,surface water hydrology,研究地球表面的水文现象和变化过程，特别是坡面流的学科。,
2.2.1.2,地下水水文学,groundwater hydrology,研究地下水的动态规律和特性，以及与地下水资源评价、开发利用、保护和管理等有关 水文问题的学科。,
2.2.1.3,河流水文学,river hydrology,研究河流的自然地理特征、补给和径流形成过程、水温和冰情、泥沙运动和河床演变、 水质、以及河流与环境之间关系等的学科。2.2.1.4 河口水文学 estuary hydrology 研究河口地区的水文现象和变化过程的学科。,
2.2.1.5,水文学,limnology，lake hydrology,研究湖泊的形成与演变，湖水运动，湖泊生物、化学和物理特性，湖泊沉积，湖泊利用， 湖泊与环境之间关系等的学科。2.2.1.6 沼泽水文学 swamp hydrology，mire hydrology 研究沼泽形成和发育的水分条件，沼泽水的生物、化学和物理特性，沼泽中水的运动和水量平衡，沼泽利用，沼泽与环境之间关系等的学科。,
2.2.1.7,冰川水文学,glacier hydrology,研究冰川的分布、形成和运动，冰川融水径流形成过程，冰川洪水形成机制和预测，冰 川水资源储存、分布和利用等的学科。2.2.1.8 区域水文学 regional hydrology 研究陆地某些特定地区的水文现象及其变化规律的学科。,注：如坡地、平原、喀斯特、干旱地区等或国家、省和市等特定行政区的水文现象及其变化规律。
2.2.2,水文气象学,hydrometeorology,研究大气和陆面的水文循环，重点在于两者之间的相互关系的学科。,
2.2.3,水文地理学,hydrogeography,研究地球表面各类水体的性质、形态特征、变化与时空分布及地域规律的学科。,
2.2.4,水文地质学,hydrogeology,研究地下水的分布、运动和形成规律，地下水的资源特征，地下水的化学和物理特性，地下水资源评价、开发利用，地下水与地质环境的相互关系等的学科。,
2.2.5,应用水文学,applied hydrology,研究水文学及有关学科的理论和方法在水文循环的各主要环节中应用的学科。,注 1：水文学的一个主要分支。；注 2：可工程建设，水资源开发利用，生态环境保护等相关行业提供水文数据、参数、预报等服务。
2.2.5.1,工程水文学,engineering hydrology,运用水文学及有关学科的理论和方法为工程规划、设计、施工、运行、管理等提供水文信息的学科。,注：主要包括水文预报、水文计算、水利计算和水资源评价等。
